location,count
manavee.com,186
ja.wikipedia.org,168
schoo.jp,157
www.mext.go.jp,73
dotinstall.com,68
www.ouj.ac.jp,68
www.nhk.or.jp,66
shige.jamsquare.org,60
curriki.jp,56
www.ted.com,56
www.jocw.jp,53
www.facebook.com,51
todai.tv,49
ocw.u-tokyo.ac.jp,48
phet.colorado.edu,47
openstudy.com,40
share-wis.com,37
www.youtube.com,37
creativecommons.jp,36
www.eboard.jp,35
www.slideshare.net,33
ed.ted.com,33
fukutake.iii.u-tokyo.ac.jp,32
www.apple.com,32
www.coursera.org,32
weblearningplaza.jst.go.jp,31
edmaps.co,31
gacco.org,30
ocw.ouj.ac.jp,29
e-words.jp,29
